nombre,img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Asplenium gilliesii Hook.,-,Aspleniaceae,Asplenium gilliesianum Hook. & Grev.,Hierba saxícola perenne,Nativa,Arica y Parinacota (AYP),4000-4000 m.,"Argentina, Bolivia y Perú",-,-
Asplenium macrosorum Bertero ex Colla,-,Aspleniaceae,"",Hierba epífita o terrestre perenne,Endémica,Juan Fernández (JFE),30-500 m.,-,-,-
Asplenium obtusatum G. Forst. var. obtusatum,-,Aspleniaceae,"",Hierba perenne,Nativa,"Rapa Nui (IPA), Islas Desventuradas (IDE)",2-190 m.,-,-,-
Asplenium obtusatum G. Forst. var. sphenoides (Kunze) C. Chr. ex Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/5_1.jpg,Aspleniaceae,"Asplenium sphenoides Kunze, Asplenium chondrophyllum Bertero ex Colla, Asplenium consimile J. Remy, Asplenium obliquum G. Forst. var. sphenoides (Kunze) Mett., Asplenium obliquum G. Forst. var. chondrophyllum (Bertero ex Colla) Mett.",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",2-500 m.,-,-,-
Asplenium patagonicum R.A. Rodr. & R. Guzmán,http://catalogoplantas.udec.cl/sites/default/files/6_1.jpg,Aspleniaceae,"Asplenium longifolium Phil. ex Gotschl., nom. nud., Asplenium monanthes auct. non L.",Hierba terrestre o saxícola perenne,Endémica,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Magallanes (MAG)",10-320 m.,-,-,-
Asplenium peruvianum Desv.,-,Aspleniaceae,"Asplenium fragile C. Presl var. lomense Weath., Asplenium fragile C. Presl",Hierba saxícola perenne,Nativa,Antofagasta (ANT),200-200 m.,"Argentina, Bolivia y Perú",-,-
Asplenium polyodon G. Forst. var. squamulosum (C. Chr.) R.A. Rodr.,-,Aspleniaceae,Asplenium adiantoides (L.) C. Chr. var. squamulosum C. Chr.,Hierba perenne,Endémica,Rapa Nui (IPA),2-120 m.,-,Nehe nehe,-
Asplenium stellatum Colla,http://catalogoplantas.udec.cl/sites/default/files/9_1.jpg,Aspleniaceae,"Asplenium fernandezianum Kunze, Asplenium lunulatum Sw. var. stellatum (Colla) C. Chr.",Hierba perenne,Endémica,Juan Fernández (JFE),90-1800 m.,-,-,-
Asplenium trilobum Cav.,http://catalogoplantas.udec.cl/sites/default/files/10_1.jpg,Aspleniaceae,"Asplenium trapezoides Sw., Asplenium parvulum Hook., Asplenium trilobum Cav. var. trapezoides (Sw.) G. Kunkel",Hierba epífita o terrestre perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",5-600 m.,Argentina,-,-
Asplenium triphyllum C. Presl,http://catalogoplantas.udec.cl/sites/default/files/11_1.jpg,Aspleniaceae,Asplenium imbricatum Hook. & Grev.,Hierba saxícola perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Coquimbo (COQ)",4300-4500 m.,"Argentina, Bolivia y Perú",-,-
Pleurosorus papaverifolius (Kunze) Fée,http://catalogoplantas.udec.cl/sites/default/files/12_1.jpg,Aspleniaceae,"Gymnogramme papaverifolia Kunze, Pleurosorus inmersus Fée, Gymnogramma chilensis Brack., Pleurosorus papaverifolius (Kunze) Fée var. nana Villagrán, Pleurosorus papaverifolius (Kunze) Fée var. hirsuta Villagrán, Asplenium ciliatum C. Presl ex Bertero, Asplenium subglandulosum (Hook. & Grev.) Salvo, Prada & Díaz subsp. papaverifolium (Kunze) Salvo, Prada & Díaz",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Aysén (AIS), Magallanes (MAG)",100-1800 m.,Argentina,-,-
Diplazium fuenzalidae Espinosa,-,Athyriaceae,"Athyrium fuenzalidae (Espinosa) Gunckel, comb. illeg.",Hierba perenne,Endémica,Rapa Nui (IPA),200-400 m.,-,Nehe nehe,-
Blechnum arcuatum J. Remy,http://catalogoplantas.udec.cl/sites/default/files/14_1.jpg,Blechnaceae,Blechnum bibreae Mett.,Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-1300 m.,Argentina,-,-
Blechnum asperum (Klotzsch) J.W. Sturm,http://catalogoplantas.udec.cl/sites/default/files/15_1.jpg,Blechnaceae,"Lomaria aspera Klotzsch, Austroblechnum asperum (Klotzsch) Gasper & V.A.O. Dittrich",Hierba perenne,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",15-415 m.,-,-,-
Blechnum blechnoides Keyserl.,http://catalogoplantas.udec.cl/sites/default/files/16_1.jpg,Blechnaceae,"Lomaria leyboldtiana Phil., Blechnum valdiviense C. Chr., Blechnum leyboldtianum (Phil.) C. Chr., Lomaria blechnoides auct. non Bory, Spicanta leyboldtiana (Phil.) Kuntze",Hierba perenne,Endémica,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",1-1100 m.,-,Iquide,-
