nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Asplenium gilliesii Hook.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/2.png?itok=mpmYIe3-,Aspleniaceae,Asplenium gilliesianum Hook. & Grev.,Hierba saxícola perenne,Nativa,Arica y Parinacota (AYP),4000-4000 m.,"Argentina, Bolivia y Perú",-,-
Asplenium macrosorum Bertero ex Colla,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/3.png?itok=bvBahx-O,Aspleniaceae,"",Hierba epífita o terrestre perenne,Endémica,Juan Fernández (JFE),30-500 m.,-,-,-
Asplenium obtusatum G. Forst. var. obtusatum,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4.png?itok=1H_r6XAq,Aspleniaceae,"",Hierba perenne,Nativa,"Rapa Nui (IPA), Islas Desventuradas (IDE)",2-190 m.,-,-,-
Asplenium obtusatum G. Forst. var. sphenoides (Kunze) C. Chr. ex Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/5_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/5_1.jpg?itok=pP7T4oLD,Aspleniaceae,"Asplenium sphenoides Kunze, Asplenium chondrophyllum Bertero ex Colla, Asplenium consimile J. Remy, Asplenium obliquum G. Forst. var. sphenoides (Kunze) Mett., Asplenium obliquum G. Forst. var. chondrophyllum (Bertero ex Colla) Mett.",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",2-500 m.,-,-,-
Asplenium patagonicum R.A. Rodr. & R. Guzmán,http://catalogoplantas.udec.cl/sites/default/files/6_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/6_1.jpg?itok=U-vHMfv4,Aspleniaceae,"Asplenium longifolium Phil. ex Gotschl., nom. nud., Asplenium monanthes auct. non L.",Hierba terrestre o saxícola perenne,Endémica,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Magallanes (MAG)",10-320 m.,-,-,-
Asplenium peruvianum Desv.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/7.png?itok=tnpFDqHo,Aspleniaceae,"Asplenium fragile C. Presl var. lomense Weath., Asplenium fragile C. Presl",Hierba saxícola perenne,Nativa,Antofagasta (ANT),200-200 m.,"Argentina, Bolivia y Perú",-,-
Asplenium polyodon G. Forst. var. squamulosum (C. Chr.) R.A. Rodr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/8.png?itok=KxbnNgqn,Aspleniaceae,Asplenium adiantoides (L.) C. Chr. var. squamulosum C. Chr.,Hierba perenne,Endémica,Rapa Nui (IPA),2-120 m.,-,Nehe nehe,-
Asplenium stellatum Colla,http://catalogoplantas.udec.cl/sites/default/files/9_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/9_1.jpg?itok=l6n-Md5D,Aspleniaceae,"Asplenium fernandezianum Kunze, Asplenium lunulatum Sw. var. stellatum (Colla) C. Chr.",Hierba perenne,Endémica,Juan Fernández (JFE),90-1800 m.,-,-,-
Asplenium trilobum Cav.,http://catalogoplantas.udec.cl/sites/default/files/10_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/10_1.jpg?itok=IkKekhgK,Aspleniaceae,"Asplenium trapezoides Sw., Asplenium parvulum Hook., Asplenium trilobum Cav. var. trapezoides (Sw.) G. Kunkel",Hierba epífita o terrestre perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",5-600 m.,Argentina,-,-
Asplenium triphyllum C. Presl,http://catalogoplantas.udec.cl/sites/default/files/11_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/11_1.jpg?itok=GX_cmMAB,Aspleniaceae,Asplenium imbricatum Hook. & Grev.,Hierba saxícola perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Coquimbo (COQ)",4300-4500 m.,"Argentina, Bolivia y Perú",-,-
